Message,Label
"Hi John, please confirm your appointment for Monday at 10 AM. #20",ham
Don't forget to pick up groceries on your way home. #20,ham
Electricity bill payment received. Thank you! #19,ham
Limited offer! Get a free iPhone 14. Act fast: http://freeiphonepromo.com #34,spam
Flash sale! Get 50% off on all electronics. Shop now: http://bigsale.com #45,spam
Your bank alert: Unusual login detected. Confirm identity at: http://securebank.com #5,spam
Win $1000 now! Click the link to claim your prize: http://winbig.com #34,spam
Flash sale! Get 50% off on all electronics. Shop now: http://bigsale.com #26,spam
Meeting rescheduled to 3 PM. Let me know if it works for you. #24,ham
Limited offer! Get a free iPhone 14. Act fast: http://freeiphonepromo.com #28,spam
Your bank alert: Unusual login detected. Confirm identity at: http://securebank.com #29,spam
Meeting rescheduled to 3 PM. Let me know if it works for you. #5,ham
Win $1000 now! Click the link to claim your prize: http://winbig.com #29,spam
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #23,spam
Your package has been delivered. Thank you for shopping with us! #2,ham
Act now and save 70% on your car insurance. Offer expires today! #28,spam
"Hi John, please confirm your appointment for Monday at 10 AM. #19",ham
Limited offer! Get a free iPhone 14. Act fast: http://freeiphonepromo.com #49,spam
Limited offer! Get a free iPhone 14. Act fast: http://freeiphonepromo.com #13,spam
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #36,spam
Limited offer! Get a free iPhone 14. Act fast: http://freeiphonepromo.com #22,spam
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #11,spam
Library notice: Your book loan is due in 2 days. Please return or renew. #0,ham
"Hi John, please confirm your appointment for Monday at 10 AM. #12",ham
Can you send me the notes from yesterday's meeting? #31,ham
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #10",ham
Get rich quick! Learn how to make $5000 per week from home. Reply NOW. #0,spam
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #26,spam
Congratulations! You've been selected for a cash reward. Reply YES to claim. #11,spam
Win $1000 now! Click the link to claim your prize: http://winbig.com #39,spam
Get rich quick! Learn how to make $5000 per week from home. Reply NOW. #32,spam
Your package has been delivered. Thank you for shopping with us! #20,ham
Your Amazon order has been shipped and will arrive soon. #44,ham
Your Amazon order has been shipped and will arrive soon. #48,ham
Electricity bill payment received. Thank you! #22,ham
Don't forget to pick up groceries on your way home. #32,ham
Win $1000 now! Click the link to claim your prize: http://winbig.com #19,spam
Electricity bill payment received. Thank you! #32,ham
Urgent! Your account has been compromised. Verify your details here: http://secure-login.com #1,spam
Exclusive deal just for you! Subscribe to our service and save big. #30,spam
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #31",ham
"Hey, are you free for lunch tomorrow? #4",ham
"Hey, are you free for lunch tomorrow? #15",ham
Get rich quick! Learn how to make $5000 per week from home. Reply NOW. #13,spam
Don't forget to pick up groceries on your way home. #40,ham
Urgent! Your account has been compromised. Verify your details here: http://secure-login.com #27,spam
Flash sale! Get 50% off on all electronics. Shop now: http://bigsale.com #3,spam
Your bank alert: Unusual login detected. Confirm identity at: http://securebank.com #13,spam
"Hi John, please confirm your appointment for Monday at 10 AM. #21",ham
Library notice: Your book loan is due in 2 days. Please return or renew. #23,ham
Your package has been delivered. Thank you for shopping with us! #22,ham
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #20,spam
Limited offer! Get a free iPhone 14. Act fast: http://freeiphonepromo.com #48,spam
Library notice: Your book loan is due in 2 days. Please return or renew. #4,ham
"Hey, are you free for lunch tomorrow? #27",ham
Flash sale! Get 50% off on all electronics. Shop now: http://bigsale.com #2,spam
Your package has been delivered. Thank you for shopping with us! #48,ham
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #12,spam
Limited offer! Get a free iPhone 14. Act fast: http://freeiphonepromo.com #40,spam
Electricity bill payment received. Thank you! #13,ham
Your Amazon order has been shipped and will arrive soon. #15,ham
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #14,spam
Don't forget to pick up groceries on your way home. #0,ham
Library notice: Your book loan is due in 2 days. Please return or renew. #19,ham
Can you send me the notes from yesterday's meeting? #1,ham
Meeting rescheduled to 3 PM. Let me know if it works for you. #29,ham
Your package has been delivered. Thank you for shopping with us! #5,ham
"Hi John, please confirm your appointment for Monday at 10 AM. #8",ham
Your Amazon order has been shipped and will arrive soon. #12,ham
Your package has been delivered. Thank you for shopping with us! #18,ham
Electricity bill payment received. Thank you! #39,ham
Get rich quick! Learn how to make $5000 per week from home. Reply NOW. #45,spam
Don't forget to pick up groceries on your way home. #45,ham
Get rich quick! Learn how to make $5000 per week from home. Reply NOW. #24,spam
Library notice: Your book loan is due in 2 days. Please return or renew. #48,ham
Act now and save 70% on your car insurance. Offer expires today! #9,spam
Your Amazon order has been shipped and will arrive soon. #0,ham
"Hey, are you free for lunch tomorrow? #28",ham
Get rich quick! Learn how to make $5000 per week from home. Reply NOW. #30,spam
Congratulations! You've been selected for a cash reward. Reply YES to claim. #45,spam
Don't forget to pick up groceries on your way home. #19,ham
Can you send me the notes from yesterday's meeting? #47,ham
Electricity bill payment received. Thank you! #3,ham
Your Amazon order has been shipped and will arrive soon. #3,ham
Your Amazon order has been shipped and will arrive soon. #43,ham
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #47",ham
Exclusive deal just for you! Subscribe to our service and save big. #33,spam
"Hey, are you free for lunch tomorrow? #1",ham
Win $1000 now! Click the link to claim your prize: http://winbig.com #9,spam
Don't forget to pick up groceries on your way home. #11,ham
Meeting rescheduled to 3 PM. Let me know if it works for you. #9,ham
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #0,spam
"Hey, are you free for lunch tomorrow? #22",ham
Act now and save 70% on your car insurance. Offer expires today! #31,spam
Act now and save 70% on your car insurance. Offer expires today! #44,spam
Don't forget to pick up groceries on your way home. #46,ham
Can you send me the notes from yesterday's meeting? #6,ham
Flash sale! Get 50% off on all electronics. Shop now: http://bigsale.com #0,spam
Meeting rescheduled to 3 PM. Let me know if it works for you. #49,ham
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #8",ham
Your Amazon order has been shipped and will arrive soon. #29,ham
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #18,spam
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #14",ham
Limited offer! Get a free iPhone 14. Act fast: http://freeiphonepromo.com #9,spam
Library notice: Your book loan is due in 2 days. Please return or renew. #20,ham
"Hi John, please confirm your appointment for Monday at 10 AM. #44",ham
Your Amazon order has been shipped and will arrive soon. #19,ham
Urgent! Your account has been compromised. Verify your details here: http://secure-login.com #36,spam
Library notice: Your book loan is due in 2 days. Please return or renew. #25,ham
Act now and save 70% on your car insurance. Offer expires today! #17,spam
Your package has been delivered. Thank you for shopping with us! #14,ham
Meeting rescheduled to 3 PM. Let me know if it works for you. #26,ham
Flash sale! Get 50% off on all electronics. Shop now: http://bigsale.com #11,spam
Library notice: Your book loan is due in 2 days. Please return or renew. #2,ham
Flash sale! Get 50% off on all electronics. Shop now: http://bigsale.com #16,spam
"Hey, are you free for lunch tomorrow? #16",ham
Flash sale! Get 50% off on all electronics. Shop now: http://bigsale.com #10,spam
Win $1000 now! Click the link to claim your prize: http://winbig.com #4,spam
Win $1000 now! Click the link to claim your prize: http://winbig.com #12,spam
Congratulations! You've been selected for a cash reward. Reply YES to claim. #48,spam
Meeting rescheduled to 3 PM. Let me know if it works for you. #47,ham
Congratulations! You've been selected for a cash reward. Reply YES to claim. #14,spam
Limited offer! Get a free iPhone 14. Act fast: http://freeiphonepromo.com #20,spam
Your bank alert: Unusual login detected. Confirm identity at: http://securebank.com #24,spam
Win $1000 now! Click the link to claim your prize: http://winbig.com #46,spam
"Hi John, please confirm your appointment for Monday at 10 AM. #42",ham
"Hey, are you free for lunch tomorrow? #41",ham
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #25",ham
Get rich quick! Learn how to make $5000 per week from home. Reply NOW. #11,spam
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #39,spam
Congratulations! You've been selected for a cash reward. Reply YES to claim. #21,spam
"Hey, are you free for lunch tomorrow? #24",ham
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #26",ham
Your Amazon order has been shipped and will arrive soon. #42,ham
Win $1000 now! Click the link to claim your prize: http://winbig.com #47,spam
Congratulations! You've been selected for a cash reward. Reply YES to claim. #28,spam
Flash sale! Get 50% off on all electronics. Shop now: http://bigsale.com #12,spam
Congratulations! You've been selected for a cash reward. Reply YES to claim. #20,spam
Congratulations! You've been selected for a cash reward. Reply YES to claim. #19,spam
Electricity bill payment received. Thank you! #34,ham
Don't forget to pick up groceries on your way home. #44,ham
Don't forget to pick up groceries on your way home. #30,ham
Limited offer! Get a free iPhone 14. Act fast: http://freeiphonepromo.com #3,spam
Meeting rescheduled to 3 PM. Let me know if it works for you. #15,ham
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #29",ham
Your package has been delivered. Thank you for shopping with us! #13,ham
Can you send me the notes from yesterday's meeting? #24,ham
Can you send me the notes from yesterday's meeting? #49,ham
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #1",ham
Your Amazon order has been shipped and will arrive soon. #28,ham
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #32",ham
Electricity bill payment received. Thank you! #0,ham
Exclusive deal just for you! Subscribe to our service and save big. #32,spam
Exclusive deal just for you! Subscribe to our service and save big. #28,spam
Urgent! Your account has been compromised. Verify your details here: http://secure-login.com #42,spam
Your Amazon order has been shipped and will arrive soon. #2,ham
Urgent! Your account has been compromised. Verify your details here: http://secure-login.com #46,spam
"Hi John, please confirm your appointment for Monday at 10 AM. #41",ham
Can you send me the notes from yesterday's meeting? #14,ham
Exclusive deal just for you! Subscribe to our service and save big. #38,spam
Get rich quick! Learn how to make $5000 per week from home. Reply NOW. #8,spam
Get rich quick! Learn how to make $5000 per week from home. Reply NOW. #49,spam
Get rich quick! Learn how to make $5000 per week from home. Reply NOW. #6,spam
Exclusive deal just for you! Subscribe to our service and save big. #10,spam
Can you send me the notes from yesterday's meeting? #9,ham
Limited offer! Get a free iPhone 14. Act fast: http://freeiphonepromo.com #6,spam
Get rich quick! Learn how to make $5000 per week from home. Reply NOW. #9,spam
Your Amazon order has been shipped and will arrive soon. #14,ham
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #39",ham
Congratulations! You've been selected for a cash reward. Reply YES to claim. #18,spam
Act now and save 70% on your car insurance. Offer expires today! #49,spam
"Hi John, please confirm your appointment for Monday at 10 AM. #29",ham
Don't forget to pick up groceries on your way home. #23,ham
Electricity bill payment received. Thank you! #48,ham
Win $1000 now! Click the link to claim your prize: http://winbig.com #27,spam
Meeting rescheduled to 3 PM. Let me know if it works for you. #38,ham
Win $1000 now! Click the link to claim your prize: http://winbig.com #5,spam
Don't forget to pick up groceries on your way home. #41,ham
Don't forget to pick up groceries on your way home. #29,ham
"Hey, are you free for lunch tomorrow? #9",ham
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #2",ham
Exclusive deal just for you! Subscribe to our service and save big. #22,spam
Act now and save 70% on your car insurance. Offer expires today! #45,spam
Act now and save 70% on your car insurance. Offer expires today! #8,spam
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #37,spam
Electricity bill payment received. Thank you! #18,ham
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #37",ham
Can you send me the notes from yesterday's meeting? #46,ham
Congratulations! You've been selected for a cash reward. Reply YES to claim. #27,spam
Library notice: Your book loan is due in 2 days. Please return or renew. #40,ham
Can you send me the notes from yesterday's meeting? #44,ham
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #38,spam
Urgent! Your account has been compromised. Verify your details here: http://secure-login.com #8,spam
Urgent! Your account has been compromised. Verify your details here: http://secure-login.com #12,spam
"Hey, are you free for lunch tomorrow? #6",ham
Your Amazon order has been shipped and will arrive soon. #6,ham
Library notice: Your book loan is due in 2 days. Please return or renew. #27,ham
Your bank alert: Unusual login detected. Confirm identity at: http://securebank.com #20,spam
Exclusive deal just for you! Subscribe to our service and save big. #7,spam
Your package has been delivered. Thank you for shopping with us! #28,ham
Your Amazon order has been shipped and will arrive soon. #37,ham
Meeting rescheduled to 3 PM. Let me know if it works for you. #1,ham
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #0",ham
"Hi John, please confirm your appointment for Monday at 10 AM. #38",ham
Urgent! Your account has been compromised. Verify your details here: http://secure-login.com #45,spam
Limited offer! Get a free iPhone 14. Act fast: http://freeiphonepromo.com #41,spam
Flash sale! Get 50% off on all electronics. Shop now: http://bigsale.com #35,spam
Limited offer! Get a free iPhone 14. Act fast: http://freeiphonepromo.com #18,spam
Meeting rescheduled to 3 PM. Let me know if it works for you. #37,ham
Meeting rescheduled to 3 PM. Let me know if it works for you. #2,ham
Flash sale! Get 50% off on all electronics. Shop now: http://bigsale.com #13,spam
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #3,spam
Get rich quick! Learn how to make $5000 per week from home. Reply NOW. #26,spam
Urgent! Your account has been compromised. Verify your details here: http://secure-login.com #29,spam
Congratulations! You've been selected for a cash reward. Reply YES to claim. #33,spam
Your bank alert: Unusual login detected. Confirm identity at: http://securebank.com #35,spam
Meeting rescheduled to 3 PM. Let me know if it works for you. #14,ham
"Hi John, please confirm your appointment for Monday at 10 AM. #30",ham
Electricity bill payment received. Thank you! #40,ham
Electricity bill payment received. Thank you! #44,ham
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #35",ham
Electricity bill payment received. Thank you! #11,ham
You’ve won a free vacation to the Bahamas! Call now to claim your spot. #8,spam
Don't forget to pick up groceries on your way home. #49,ham
Win $1000 now! Click the link to claim your prize: http://winbig.com #28,spam
Get rich quick! Learn how to make $5000 per week from home. Reply NOW. #4,spam
Limited offer! Get a free iPhone 14. Act fast: http://freeiphonepromo.com #27,spam
Library notice: Your book loan is due in 2 days. Please return or renew. #17,ham
Electricity bill payment received. Thank you! #5,ham
Your package has been delivered. Thank you for shopping with us! #24,ham
Limited offer! Get a free iPhone 14. Act fast: http://freeiphonepromo.com #37,spam
Urgent! Your account has been compromised. Verify your details here: http://secure-login.com #9,spam
Electricity bill payment received. Thank you! #31,ham
Act now and save 70% on your car insurance. Offer expires today! #32,spam
Urgent! Your account has been compromised. Verify your details here: http://secure-login.com #21,spam
Flash sale! Get 50% off on all electronics. Shop now: http://bigsale.com #44,spam
Flash sale! Get 50% off on all electronics. Shop now: http://bigsale.com #18,spam
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #40",ham
Congratulations! You've been selected for a cash reward. Reply YES to claim. #36,spam
Exclusive deal just for you! Subscribe to our service and save big. #49,spam
Flash sale! Get 50% off on all electronics. Shop now: http://bigsale.com #30,spam
Act now and save 70% on your car insurance. Offer expires today! #30,spam
Congratulations! You've been selected for a cash reward. Reply YES to claim. #25,spam
Your package has been delivered. Thank you for shopping with us! #43,ham
Electricity bill payment received. Thank you! #36,ham
Don't forget to pick up groceries on your way home. #3,ham
Your Amazon order has been shipped and will arrive soon. #36,ham
Congratulations! You've been selected for a cash reward. Reply YES to claim. #5,spam
Library notice: Your book loan is due in 2 days. Please return or renew. #1,ham
Win $1000 now! Click the link to claim your prize: http://winbig.com #42,spam
Library notice: Your book loan is due in 2 days. Please return or renew. #29,ham
Your package has been delivered. Thank you for shopping with us! #6,ham
Don't forget to pick up groceries on your way home. #6,ham
Urgent! Your account has been compromised. Verify your details here: http://secure-login.com #18,spam
Electricity bill payment received. Thank you! #26,ham
Don't forget to pick up groceries on your way home. #24,ham
Urgent! Your account has been compromised. Verify your details here: http://secure-login.com #10,spam
Library notice: Your book loan is due in 2 days. Please return or renew. #38,ham
Urgent! Your account has been compromised. Verify your details here: http://secure-login.com #2,spam
Exclusive deal just for you! Subscribe to our service and save big. #11,spam
Get rich quick! Learn how to make $5000 per week from home. Reply NOW. #16,spam
Get rich quick! Learn how to make $5000 per week from home. Reply NOW. #18,spam
"Hey, are you free for lunch tomorrow? #36",ham
Meeting rescheduled to 3 PM. Let me know if it works for you. #30,ham
Meeting rescheduled to 3 PM. Let me know if it works for you. #42,ham
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #18",ham
"Hi John, please confirm your appointment for Monday at 10 AM. #10",ham
"Hey, are you free for lunch tomorrow? #18",ham
Electricity bill payment received. Thank you! #4,ham
Your bank alert: Unusual login detected. Confirm identity at: http://securebank.com #43,spam
Library notice: Your book loan is due in 2 days. Please return or renew. #5,ham
Library notice: Your book loan is due in 2 days. Please return or renew. #43,ham
Your Amazon order has been shipped and will arrive soon. #23,ham
Library notice: Your book loan is due in 2 days. Please return or renew. #8,ham
Limited offer! Get a free iPhone 14. Act fast: http://freeiphonepromo.com #26,spam
Your package has been delivered. Thank you for shopping with us! #39,ham
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #20",ham
Your bank alert: Unusual login detected. Confirm identity at: http://securebank.com #31,spam
Your package has been delivered. Thank you for shopping with us! #30,ham
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #46",ham
Your Amazon order has been shipped and will arrive soon. #31,ham
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #34",ham
Electricity bill payment received. Thank you! #38,ham
Don't forget to pick up groceries on your way home. #12,ham
Library notice: Your book loan is due in 2 days. Please return or renew. #16,ham
Congratulations! You've been selected for a cash reward. Reply YES to claim. #31,spam
Exclusive deal just for you! Subscribe to our service and save big. #18,spam
Win $1000 now! Click the link to claim your prize: http://winbig.com #6,spam
"Hi John, please confirm your appointment for Monday at 10 AM. #16",ham
Urgent! Your account has been compromised. Verify your details here: http://secure-login.com #0,spam
Your bank alert: Unusual login detected. Confirm identity at: http://securebank.com #21,spam
Win $1000 now! Click the link to claim your prize: http://winbig.com #8,spam
Your package has been delivered. Thank you for shopping with us! #4,ham
"Hi John, please confirm your appointment for Monday at 10 AM. #23",ham
Get rich quick! Learn how to make $5000 per week from home. Reply NOW. #48,spam
"Hey, are you free for lunch tomorrow? #23",ham
"Your flight to New York is confirmed. Departure: 8:30 AM, Gate 12. #3",ham
Limited offer! Get a free iPhone 14. Act fast: http://freeiphonepromo.com #45,spam
Can you send me the notes from yesterday's meeting? #37,ham
Exclusive deal just for you! Subscribe to our service and save big. #44,spam
"Hi John, please confirm your appointment for Monday at 10 AM. #17",ham
